Sample_ID,Severity,Sample_Type,Short_Description,Description
ORIG_10,5,Original,Investigated by another state,Investigated by another state
ORIG_11,3,Original,A general cargo vessel made contact with a berth during manoeuvring operations.,"A general cargo vessel was being manoeuvred to come alongside a berth with a pilot on board when it made contact with the berth, resulting in minor damage to the bow of the vessel and to the berth. When the vessel was close to the berth, the tide caught the stern of the vessel resulting in an increased rate of tern and despite the efforts of the crew and pilot to prevent the vessel from swinging out of control, the bow of the vessel still struck the berth. The pilot had asked before the manoeuvre that they would be in charge of the conduct of navigation, however once the vessel was close to the berth the captain had requested to take over the con. The pilot reported that the captain may have been over confident in their ability to manoeuvre the vessel and underestimated the effects of the current and tide."
ORIG_12,3,Original,A cruise ship crewmember fractured their finger,"A cruise ship crewmember was working in a passenger cabin during passenger turn-around, changing bed sheets, when they fractured their finger. Reportedly, when removing the sheet from the mattress, it became stuck on the corner of the bunk and in order to remove it, the crew member lifted the mattress. However their finger became stuck in the mechanism of the bunk resulting in a fracture to their right ring finger. The area was inspected and there were no defects found and the cause of the injury was reportedly due to the crew member putting their finger in a place that they didn't need to whilst changing the bed linen. "
ORIG_13,3,Original,Cruise ship's passenger lost their balance and fell resulting in a closed fracture.,Cruise ship's passenger was descending the stairs when they slipped and fell resulting in them sliding down the steps of the staircase. They came to a rest on their back at the bottom of the stairs. This resulted in a fractured shoulder. 
ORIG_14,4,Original,Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle.,"Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle. Passenger was walking down the aft passenger staircase leading to the International Dining Room. Suddenly an unknown passenger bumped there shoulder from behind, passenger lost there balance and landed on the next step twisting there left ankle."
ORIG_15,3,Original,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.
ORIG_16,3,Original,A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine.,"A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine. Went to catch a ball then accidentally tripped on one there shoes and fell on there right side, landing on deck with there buttocks. The hit on deck was quite strong and the backlash injuring the spine."
ORIG_17,4,Original,"Cruise ship lost steering control, steering restored soon after.","Cruise ship lost steering control, steering restored soon after. Ship was proceeding under hand steering at 7 knots in the approach channel. Pilot had the con. In approach hand steering control was lost. Vessel position and heading control was maintained instead by use of bow and stern thrusters. Within 1 minute of the event, steering control of both rudders had been restored. The vessel continued on passage and safely docked without further incident."
ORIG_18,3,Original,A general cargo vessel collided with a berthed vessel during manoeuvring near the berth.,"A general cargo vessel was manoeuvring off a berth with a pilot on board when the bow of the vessel came into contact with the stern of another general cargo vessel that was berthed. There were no injuries, serious damage or pollution. Minor cosmetic damage of the berthed vessel was reported. The general cargo vessel with the pilot continued on its outbound passage and the forward tank in the area of the collision was monitored for water ingress, of which none was observed. The vessel continued on its passage after disembarking the pilot."
ORIG_19,3,Original,A general cargo vessel grounded whilst alongside.,A general cargo vessel was alongside when it grounded on a falling tide. The sea floor sloped away from the berth causing the vessel to develop a list of 10 degrees away from the berth and part one of its mooring lines. As the tide began to rise a tug assisted the vessel so that it did not slip further and was able to help it back alongside.
ORIG_20,3,Original,Recreational craft took on water while alongside resulting in loss of vessel.,"Recreational craft took on water while alongside. Water ingress discovered when arriving at boat on Saturday 24th Feb. Bilges filled, engine and battery box flooded. Boat had been lifted into water 3 days previously. External pump used to drain, leak investigated and discovered. Vessel lifted out of water for repairs."
ORIG_21,3,Original,General cargo vessel grounded resulting in no damage.,General cargo vessel was departing when it proceeded upstream manoeuvring slowly. There was an attempt to apply the helm order but steering appeared unresponsive and the vessel moved across to rest in soft mud. The main engine astern and the bow thruster which then allowed the vessel to manoeuvre off the mud and proceed to passage. No damage was reported on the vessel. 
ORIG_22,3,Original,A ro-pax vessel appeared to have a fire on one of the vehicles that was loaded,"A ro-pax vessel was loading vehicles when smoke was noticed from an articulated lorry. The crew initiated fire fighting procedures and discharged a dry powder extinguisher in the rear of the cab. After the initial emergency actions had been completed, the crew discovered that the smoke was not from a fire but from the exhaust gas from the cab heater. There were no injuries, pollution or damage from the incident. "
ORIG_23,3,Original,A pilot vessel and a bunker barge collided,"A pilot boat was coming alongside a tanker that was outbound from port in order to carry out pilot transfer operations, when the pilot boat was lifted by a wave and collided with the railings of the tanker. The railings were bent backwards but not significantly and the vessels were able to continue with the operation after the incident. There were no injuries or pollution. "
ORIG_24,2,Original,A ro-pax vessel sustained damage to the hull plating whilst berthing in heavy weather.,"A ro-pax vessel was berthing during strong gale force winds when the hull struck a fender and sustained a breach on the starboard shoulder above the water line. During the manoeuvring, the vessel had to land on the fenders on multiple occasions due to the strong gusts of wind up to 45 knots. There was also some swell in the harbour that could have caused the vessel to roll onto the sharp edge of the fendering. "
ORIG_25,3,Original,A passenger vessel passenger fell down a staircase and was injured.,"A passenger of a ferry fell down a staircase on board and sustained a head injury, requiring ambulance assistance and hospital attendance. The passenger sustained bone fractures and injuries to the head, ribs and spine. They were taken to a shoreside hospital for treatment. There were no witnesses to the fall, but the passenger had consumed alcohol before the incident."
ORIG_26,4,Original,A ro-pax vessel was using a piling to assist departure when it collapsed,"A ro-pax vessel was departing a port, the vessel was undertaking a standard departure manoeuvre that is used in strong onshore winds. Whilst the stern was resting on a dolphin and the bow thrusted off, the dolphin gave way and collapsed into the harbour. No injuries occurred onboard to crew or passengers, and no damage was sustained by the vessel."
ORIG_27,3,Original,A ro-pax ferry went aground at the berth due to high winds.,"A ro-pax vessel was pushed broad side against a slip way by strong winds and grounded. There was no pollution, injuries or damage reported. The local lifeboat service assisted the vessel off the slipway and it was able to continue the rest of its daily operations without further incident."
ORIG_28,3,Original,A ro-ro vessel crew member sustained a crush injury from a trailer.,A ro-ro vessel crew member sustained crush injuries whilst working on one of the vehicle decks after being crushed  by a trailer. They were evacuated ashore by shore side emergency services. 
ORIG_29,3,Original,A tanker struck the quay side whilst approaching a jetty.,"An edible oil tanker was berthing in high winds when it struck the jetty with its bow.  The crew and pilot of the vessel commenced a starboard turn towards the lock entrance of the port, when the strong force 7 winds caught the stern of the vessel increasing the turning speed of the vessel. Despite the efforts of the crew to curtail the turn, the vessel struck the fendering at the dock entrance. The fendering of the lock was splintered and broken. The vessel was also damaged above the waterline on the bulwark of the forecastle including dents, cracks and a hole at the centreline of the ship, above the forecastle deck. The incident reportedly occurred because the pilot misjudged the turn, taking it too early. "
ORIG_30,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. PILOT LADDER IS COMPLIANT HOWEVER THE SPREADER IS BENT TO THE EXTENT THE PILOT RECOMMENDS A REPLACEMENT LADDER.
ORIG_31,3,Original,A fishing vessel grounded whilst in port.,A stern trawler was arriving in port when they grounded on the falling tide. It was initially reported that they had struck other vessels in the marina but this was not the case. The vessel was secured and re-floated on the flooding tide. 
ORIG_32,3,Original,A cargo vessel made contact with the wall whilst being raised in a lock and sustained damage,"Whilst in the lock waiting to be raised, the flow of water entering the lock chamber caused the vessel to land heavily alongside causing damage to the vessel. "
ORIG_33,3,Original,Recreational sailing craft grounded at harbour entrance resulting in all POB being recovered safely  but loss of vessel,Recreational sailing craft grounded at harbour entrance resulting in all POB being recovered safely  but loss of vessel.
ORIG_34,3,Original,An inland waterways passenger vessel grounded.,"An inland waterways passenger vessel whilst manoeuvring in a port area. The master alter the vessel to starboard to pass another vessel bringing the vessel closer to the shoreline, where the vessel grounded on the starboards side. The incident reportedly occurred due to a lack of judgement on how much room the vessel had to manoeuvre. There was no damage, pollution or injuries. "
ORIG_35,4,Original,A single handed sailing vessel skipper fell overboard and self-recovered.,"A single handed sailing vessel crew member had just come alongside in a marina, when the crewmember fell over board. They were berthing, sending lines ashore and slipped on the stainless steel edging of the pontoon as they stepped from the vessel, causing them to fall into the water. Their lifejacket inflated and they attempted to call for help using their hand held VHF radio, however did not receive a response and was unable to activate the PLB on their lifejacket due to the fact that the inflated bladders of the lifejacket made it difficult to reach. The crewmember used the edge of the pontoon to move along and self recovered from the water using the loop of the mooring line to make a sling around a cleat on the pontoon. They were able to get up onto the pontoon by removing their lifejacket. They self-administered first aid and were not seriously injured. "
ORIG_36,3,Original,A ro-pax vessel experienced smoke coming through the ventilation due to overheating in the fan room.,"A ro-pa vessel was approaching port when there was smoke reported in one of the passenger common areas coming out from the ventilation system. The smoke was not thick and smelled like electrical or plastic burning. The crew evacuated the passengers to the external areas of the accommodation whilst they determined the source of the smoke. The smoke was found to be coming from the fan room where the belt of one of the motors had overheated causing the smoke. The drive belt was slacker than it should have been causing additional friction and heat. The vessel was able to berth and all the passengers and vehicles disembarked. The local fire service also attended to determine that there was no fire or risk remaining. There were no injuries, pollution or damage as a result of the incident. "
ORIG_37,3,Original,A dredger's overnight anchor slipped and the vessel ran aground and the 3 crew abandoned the vessel.,A dredger ran aground after its anchor dragged. The three crewmembers were rescued by local search and rescue services. There was reportedly no pollution or damage but the vessel was hard aground and the company organised private salvage of the vessel. There were no injuries. 
ORIG_38,3,Original,Ro-Ro made contact with with mooring resulting in damage to the port aft voith blades and mooring.,Ro-Ro made contact with with mooring resulting in damage to the port aft voith blades and mooring.
ORIG_39,4,Original,"RO-PAX vessel was recovering its rescue boat when control of the winch was lost, causing the rescue boat to drop and the winch handle to spin without control","RO-PAX vessel was recovering its rescue boat using a motorised davitt winch when the winch began paying out and the boat slipped. The decision was made to cease use of the motorised winch and revert to am anual operation. A crewmember inserted a winch handle and began winding the winch in. This was tiring and so decided to swap with another crew member. In the process of handing over, there was a moment whereby the winch was not being held by the current crew member or the crew member coming to replace him and the rescue boat began to drop and the winch handle span without any control or way of stopping it.  The rescue boat dropped approximately 3 meters before coming to rest and the winch handle stopping. There were no injuries and no damage to the rescue boat or the RO-PAX vessel."
ORIG_40,5,Original,"Passenger Ro-Ro experienced davit malfunction when running drill, resulting in near miss.","Passenger Ro-Ro experienced davit malfunction when running drill, resulting in near miss."
ORIG_41,5,Original,Cruise ship's pilot ladder did not conform to SOLAS regulations.,"Cruise ship's pilot ladder did not conform to SOLAS regulations. Bottom rung of ladder broken, a winnet missing on one of the rubber rungs, a couple of winnets had been replaced with wooden ones and looked loose."
ORIG_42,5,Original,Cruise ship's pilot ladder did not conform to SOLAS regulations.,Cruise ship's pilot ladder did not conform to SOLAS regulations. 
ORIG_43,3,Original,Passenger /Ro-Ro vessel grounded due to tide running out while maintenance taking place in the slipway.,"Passenger /Ro-Ro vessel grounded due to tide running out while maintenance taking place in the slipway. While undergoing welding maintenance to the ramp, the tide ran out and vessel grounded, RNLI ALB deployed to assist with no effect, Vessel waiting for next high water to re-float. Damage unknown"
ORIG_44,3,Original,Pilot boat suffered a starboard engine fire which resulted in loss of power and towed back to harbour,"The vessel was returning to harbour when the temperature alarm activated. Smoke was coming out of the exhaust and intake vents, the intake and exhaust vents were closed and the fuel supply shut off. The onboard fixed firefighting system was activated. Two police vessels assisted with towing the vessel back with two tugs in assistance if required. Once alongside the fire service took over and boarded the vessel to assess. There were no injuries or pollution reported."
ORIG_45,3,Original,Service vessel suffered from water ingress,"The vessel had an ingress of water due to the seawater system not being correctly isolated by a crew member prior to carrying out cleaning the seawater strainers. Approximately 50-60m3 of seawater flooded into the engine room. The bilge alarm had sounded. Two crew attempted to replace the strainer cover but were not successful, another crew member isolated a valve to stop the ingress. Shore assistance was provided to pump out the water. "
ORIG_46,4,Original,"Cargo vessels crew member slipped and fell into the void bilge resulting in injuries to the head, body and ankle","Cargo vessels crew member slipped and fell into the void bilge resulting in injuries to the head, body and ankle. While walking, they slipped on a sheet of blue tarpaulin in the void walkway, and fell below the handrail into the void bilge."
ORIG_47,3,Original,Sailing vessel ran aground resulting 4 POB being recovered to safety.,Sailing vessel ran aground resulting 4 POB being recovered to safety.
ORIG_48,3,Original,Passenger vessel collided with a passenger ferry alongside whilst departing resulting in minor damage.,Passenger vessel collided with a passenger ferry alongside whilst departing resulting in minor damage. There was a strong ebb tide. Unfortunately when they let go and started to move away from the harbour they made contact with the passenger ferry.
ORIG_49,4,Original,Passenger ro-ro ship's pilot ladder did not conform to SOLAS regulations.,"Passenger ro-ro ship's pilot ladder did not conform to SOLAS regulations. Ladder construction - rope of questionable type, secured in a Questionable manner it’s a twin rope design and they had one part of the rope tied to a different point than the other. There is not a cut away in the running band resulting in an overhang, causing footing issues and the pilot ladder to underhang when you step below the running band"
ORIG_50,3,Original,A service vessels crew member injured themself whilst lifting fuel hose.,A service vessels crew member injured themself whilst lifting fuel hose. IP was taking the vessels bunkering hose back from the customers vessel.  During this evolution the IP noticed a “twinge” in the back.  Now has back pain and has been signed off work for a week. IP has a (at the time) an undeclared bad back and was manhandling 300ft of fuel hose.
ORIG_51,3,Original,A fishing vessel suffered a fire onboard that was extinguished by the fire service,"A fishing vessel suffered a fire onboard from an oil heater that had been left on before the skipper left the vessel. The vessel was alongside in a harbour, excessive smoke was seen coming from the vessel. The fire service attended and extinguished the fire. No pollution seen, the vessel's interior sustained damage."
ORIG_52,1,Original,A products barge had an explosion in a battery cabinate.,"A products barge had an explosion when running the diesel generator. The explosion occurred within the battery cabinet, suspected to be caused by a build up of hydrogen gas. The cabinet was damaged but there were no injuries or pollution."
ORIG_53,3,Original,A sailing yacht briefly grounded whilst assisting another vessel,"A sailing yacht on a training course was assisting another vessel that had grounded in a mooring field. The sailing yacht set up a bridle reversed to the grounded vessel and threw a tow line. The other vessel had not set up a bridle and tied off on the bow. Once set up the sailing yacht proceeded to tow the casualty vessel but was pulled sideways and with assistance from the wind grounded and got caught in chain moorings. The crew released the tow line and were able to free the yacht and continued on it's way. No injuries to crew, the yacht returned to shore as there was a problem with the rudder and a full inspection for any further damage."
ORIG_54,3,Original,Ro-pax crew member slipped and fell whilst walking., A crew member slipped and fell whilst proceeding to forecastle in preparation for singling up mooring lines and used their arm to grab onto frame of door to prevent a fall to the deck. PPE correctly worn and in good condition. This resulted in a shoulder dislocation.
ORIG_55,3,Original,A trawler had a tumble dryer fire onboard.,"A trawler was alongside in port when a fire started on a tumble dryer. This produced a lot of smoke and the five crew disembarked from the vessel onto the quayside and the shore side fire service attended. One crew member was given first aid for smoke inhalation by the fire fighters who also removed the tumble dryer from the vessel. There was no serious damage, pollution or injuries. "
ORIG_56,3,Original,A fishing vessel collided with a moored fishing vessel whilst manoeuvring,A fishing vessel was leaving a harbour. As they were manoeuvring they collided with a moored fishing vessel. The moored fishing vessel attempted to hail the other vessel but there was no response. There were no injuries to crew and the the to the vessel was some paint scraped off.
ORIG_57,3,Original,Cruise ships passenger tripped resulting in closed fracture to the spine,"Cruise ships passenger tripped resulting in closed fracture to the spine. Passenger tripped on raised threshold, passenger has pre-existing back injury requiring them to use a walking stick. Injury to the L2 vertebra."
ORIG_58,3,Original,An offshore support vessel and a creel vessel had a close quarters situation and the support vessel grounded,"An offshore support vessel grounded after being in a close quarters situation with a potting (creel) vessel. The offshore support vessel was outbound from a port when there was an emerging risk of collision with a potting vessel. The offshore support vessel had to take evasive action, however whilst doing so they strayed into shallow water and grounded. The vessel returned to port where they had a survey by divers as there was suspected damage to two ballast tanks. There were no injuries or pollution. "
ORIG_59,3,Original,Fishing vessel three crew member were overcome by diesel fumes,A fishing vessel crew were carrying out an emergency fire fighting drill as organised by the skipper. Standard practice is to carry out the drill on either the shelter deck or top deck where it is ventilated using a petrol generator. The crew decided to take the generator into the fish room. The skipper returned and notified by another crew member there was a problem with the crew. The skipper went into the fish room to find one crew member laying down and the other two conscious but not alert. Emergency services were called and the crew removed. The crew were administered oxygen by the emergency services with one crew member taken to hospital and observed overnight.
ORIG_60,4,Original,Sailing yacht crew member fell overboard into water during berthing operations,"A crew member was attempting to berth their vessel when they fell overboard into the water and, was recovered from the water uninjured."
ORIG_61,3,Original,A cruise ship passenger sustained a fractured ankle whilst dancing.,A cruise ship passenger was dancing when they lost their balance and rolled their ankle resulting in a fracture. The passenger reported that the incident was caused by their footwear and consumption of alcohol. The dance floor was inspected by the crew and there were no defects found. There were no damages or pollution. The injured passenger was disembarked for further medical treatment due to the type of fracture.
ORIG_62,3,Original,A service vessel grounded on a sandbar.,A service vessel was manoeuvring within the harbour area when it grounded on a sand bank. The crew of the vessel reported that there was no shallow water there during previous transits of the area and that the sand bank may have moved due to recent storms. The vessel's crew waited for the tide to rise and then manoeuvred off the bank. There was no damage to the vessel. 
ORIG_63,3,Original,A general cargo vessel struck the quay whilst berthing.,"A bulk carrier was manoeuvring in the port area when the pilot gave a kick ahead on the main engine and the bow moved towards the quayside, striking it. The vessel sustained damage to hull plating and stiffeners above the waterline which were dented and bent. "
ORIG_64,3,Original,Service vessel grounded while berthing resulted in no damage and re-floated on high tide.,Service vessel grounded while berthing resulted in no damage and re-floated on high tide.
ORIG_65,2,Original,A high speed passenger vessel was berthing when a crew member sustained a severe hand injury.,A high speed passenger ferry was berthing and a crewmember on shore assisting with the berthing sustained a serious hand injury. The crew member caught their thumb between a mooring line and a bollard resulting in a traumatic amputation. The rope had to be slacked from the vessel side in order to free the crew member who was then taken to hospital ashore. 
ORIG_66,4,Original,"Near miss between 2 tankers due to the weather, no damage was reported.","A floating storage tanker semi permanently moored in port along with its daughter vessel moored alongside for STS cargo operations. Cargo operations had already been stopped due to expected weather earlier in the day. One of the tankers crew members requested emergency tug support as the vessel was unable to stay alongside the jetty due to the wind (gusts of up to 75 knots were reported). It was reported that they were 1.5 metres off the jetty. Once the tug arrived on scene, they made fast on the centre lead aft and pulled the vessel stern back towards the jetty. They were unable to push on the hull due to a lack of tug pushing point. No mooring lines parted and no injuries have been reported. "
ORIG_67,5,Original,Container vessel's pilot ladder did not conform to SOLAS regulations,Ladder was not rigged per current SOLAS regulations. Ladder was secured to ship’s railings despite pad-eyes available on deck. Accommodation ladder was not secured to ship’s side adjacent to the pilot ladder. Rectified before disembarkation and master and crew instructed to rig correctly for future transfers.
ORIG_68,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations,"Container ship's pilot ladder did not conform to SOLAS regulations. Ladder rigged on port quarterdeck. Ladder was not tied off. Weight of ladder was on spreader up against ship’s rails. As main deck freeboard was low enough, disembarkation commenced with step across and no ladder."
ORIG_69,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,"Container ship's pilot ladder did not conform to SOLAS regulations. Deck tongue in use, weight on step of ladder rather than side ropes. Side rope securing slack and unable to see if end of ladder was made fast to vessel due to length of unused ladder and confined disembarkation area."
ORIG_70,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. Ladder was in poor conditions with varnished steps.
ORIG_71,4,Original,Cargo ship used a dangerously weighted heaving line resulting in no injuries,Cargo ship used a dangerously weighted heaving line. Metal nuts found inside heaving lines used by both forward and aft mooring stations during arrival. No damage/injuries reported. 
ORIG_72,3,Original,An inshore tug experienced shut down of one of its main engines and struck the quayside as a result.,An inshore tug was attempting to berth when its starboard engine failed and the vessel struck the quayside. The tide was high which meant that the hull of the vessel struck where there was no fendering and sustained minor damage in the form of dents. There were no injuries or pollution. The classification society of the vessel attended shortly after the incident and confirmed that the damage was minor and there was no requirement for a condition of class to be issued. The reason for the engine shut down was investigated by shoreside specialist engineers.
ORIG_73,4,Original,Dangerously weighted heaving line,Dangerously weighted heaving line. Weighted end cut off and replaced with sand bag by crew onboard Craigleith.
ORIG_74,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. 
ORIG_75,5,Original,A container vessel used an unsafely weighted heaving line.,A container vessel crew used an unsafely weighted heaving line that was filled with metal scraps. 
ORIG_76,5,Original,A container vessel used an unsafely weighted heaving line.,A container ship had an unsafely weighted heaving line as the weight was filled with metal scrap. 
ORIG_77,5,Original,Cruise ship's pilot ladder did not conform to SOLAS regulations.,Cruise ship's pilot ladder did not conform to SOLAS regulations. Pilot ladder secured from deck head. Focused with Captain and he ensured it would be rectified at upcoming dry dock . Safety officer and Staff Captain instructed to make it happen. No further action required.
ORIG_78,3,Original,A bulk carrier loading scrap metal had a fire in the cargo hold.,"A bulk carrier was loading scrap metal, when a scrap fire broke out in one of the cargo holds. The crew attempted fire fighting but evacuated from the vessel shortly after the shore side fire service attended. The cargo hold was sealed off by the crew who boundary cooled the area. The local fire service then monitored the fire. There were no injuries or pollution reported. "
ORIG_79,5,Original,Bunkering tanker's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. Pilot ladder over 30 months old with no strength test. Chief Officer will use newer ladder for departure (available on board). Ships SMS requirement is to change the ladder after 36 months.
ORIG_80,4,Original,Cruise ship crew member slipped and injured themself,"The crew member was descending the staircase and slipped on either the 2nd or 3rd step. They slid down the the stairs and landed on the carpeted area between decks. The crew member was assisted by passengers and other crew.  A paramedic attended, the crew member was taken to the medical centre on a stretcher. The area where the crew member fell was checked for any damage that may have caused the fall but there were no defects. "
ORIG_81,4,Original,A tug crew member slipped and injured their shoulder,The tug crew member slipped on deck and fell injuring their right shoulder.  The deck crane on board was found to have a leak from the valve. The drew member was off work for 24 days.
ORIG_82,3,Original,A cruise ship passenger fell and fractured their wrist,"The passenger was proceeding to the toilets. As they were being assisted out of their wheelchair, they stumbled and fell, landing on their right arm and hitting their head. With assistance from their partner and a crew member they were able to get back up. The passenger went to the medical centre to receive medical treatment for a fractured right wrist. The passenger remains onboard. "
ORIG_83,3,Original,Two cargo support blocks fell from a stack and struck the hand of a worker that was holding onto a rail below,"A shore side worker was descending a ladder when two cargo support blocks fell from above and struck the worker's hand. The worker was holding a rail at the time, meaning his hand was caught between the falling blocks and the rail. They suffered fractured fingers"
ORIG_84,3,Original,Ro-pax vessel crew member fell through a hatch resulting in a fractured pelvis,"A ro-pax vessel crew member was cleaning a deck recess and had forgotten to close an access hatch. The crew member stepped back and fell through the hatch to the deck below approx. 4.5m onto their hip, they were able to move to an area where they were found by another crew member. An ambulance was called, and the crew member was disembarked into the care of the ambulance service. "
ORIG_85,5,Original,A container ship used a dangerously weighted heaving line,"A container ship used a dangerously weighted heaving line, aft heaving line found to contain large metal nuts. "
ORIG_86,5,Original,A cargo ship used a dangerously weighted heaving line,A container ship used a dangerously weighted heaving line. Weighted heaving line found on both forward and aft mooring stations on arrival. Metal core clearly visible at the base of rubber weight. Master advised to check all heaving lines prior to departure.
ORIG_87,5,Original,Cargo ship using dangerously weighted heaving lines.,Cargo ship using dangerously weighted heaving lines. Weighted heaving lines found on both Forward and Aft Mooring Stations on arrival to Berth 107. Core of monkey fist contained metal nuts embedded in plastic. Master advised to check all heaving lines prior to departure.
ORIG_88,4,Original,A tug damaged the edge of a quay whilst pushing against it.,"An inshore tug crew were waiting for their next job with the tug pushed with its bow up against the quay and the engine running on minimum revolutions ahead to keep it in position. However, when the vessel pulled away from the quay again, there was damage to the concrete in the form of a dent and cracks. This was apparently an area that had been previously repaired and was weakened as a result. By pushing against it, the tug crew had dislodged the old repair. There were no damages to the vessel, and no injuries or pollution. The quay damage was considered to be minor."
ORIG_89,3,Original,"A ro-ro cargo vessel made contact with an upright pile, resulting in damage to both.","A ro-ro vessel was berthing at a port when it made contact with a pile resulting in minor damage to the vessel and to the pile. There were no injuries or pollution and the vessel was able to continue on its passage once cargo operations were completed. Reportedly the incident occurred due to the pilot's PPU not being able to connect to the vessel's AIS, which meant that the pilot had to judge distances by eye."
ORIG_90,5,Original,Container ship's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. Both stanchions slide into brackets on deck however have no securing bolt to prevent them from sliding back out.
ORIG_91,5,Original,Not available Under Permanent Cooperation Framework (PCF),Not available Under Permanent Cooperation Framework (PCF)
ORIG_92,5,Original,A container vessel had an inadequate pilot ladder arrangement.,A container vessel had an inadequate pilot ladder arrangement due to the fact that it was secured using shackles.
ORIG_93,5,Original,A container vessel used an incorrectly weighted heaving line.,A container ship used an unsafely weighted heaving line that appeared to contain metal. The port workers confiscated the weight and the vessel's crew checked all the other heaving lines on board to ensure they were weighted in a safe way.
ORIG_94,2,Original,A cruise ship passenger tripped resulting in a dislocated shoulder,"A cruise ship passenger tripped on a door threshold and landed with the left arm extended resulting in a dislocation of the left shoulder. The medical team transported the passenger to the medical centre. Numerous attempts were carried out to reposition the dislocation but were unsuccessful due to the complexity. The ships doctor requested a medical evacuation of the passenger, as the vessel would remain at sea for another 63 hours before calling at the planned port of arrival. Communication to the Coastguard to arrange medical disembarkation. The passenger was disembarked onto to a search and rescue vessel and passed into the care of the ambulance service."
