Latitude,Longitude,Occurrence_Location,Coastal_State_Affected,Weather,Wind_Force,Sea_State,Visibility,Natural_Light,Short_Description,Description,Main_Event_L1,Severity
51.4396,0.7425,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Night,Investigated by another state,Investigated by another state,Fire / Explosion,5
51.4397,0.741,Internal waters -> Port area,UNITED KINGDOM,Clear,5 - Fresh Breeze - knot (17-21) m/s (9-11),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A general cargo vessel made contact with a berth during manoeuvring operations.,"A general cargo vessel was being manoeuvred to come alongside a berth with a pilot on board when it made contact with the berth, resulting in minor damage to the bow of the vessel and to the berth. When the vessel was close to the berth, the tide caught the stern of the vessel resulting in an increased rate of tern and despite the efforts of the crew and pilot to prevent the vessel from swinging out of control, the bow of the vessel still struck the berth. The pilot had asked before the manoeuvre that they would be in charge of the conduct of navigation, however once the vessel was close to the berth the captain had requested to take over the con. The pilot reported that the captain may have been over confident in their ability to manoeuvre the vessel and underestimated the effects of the current and tide.",Contact,3
-37.839767,144.925867,Internal waters -> Port area,AUSTRALIA,Overcast,4 - Moderate Breeze - knot (11-16) m/s (6-8),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A cruise ship crewmember fractured their finger,"A cruise ship crewmember was working in a passenger cabin during passenger turn-around, changing bed sheets, when they fractured their finger. Reportedly, when removing the sheet from the mattress, it became stuck on the corner of the bunk and in order to remove it, the crew member lifted the mattress. However their finger became stuck in the mechanism of the bunk resulting in a fracture to their right ring finger. The area was inspected and there were no defects found and the cause of the injury was reportedly due to the crew member putting their finger in a place that they didn't need to whilst changing the bed linen. ",Accident to person(s),3
-38.07,144.918333,Internal waters -> Port area,AUSTRALIA,Overcast,5 - Fresh Breeze - knot (17-21) m/s (9-11),2 - Smooth - (0.1 - 0.5 m),Very good - Vis >= 25.0 nm,Night,Cruise ship's passenger lost their balance and fell resulting in a closed fracture.,Cruise ship's passenger was descending the stairs when they slipped and fell resulting in them sliding down the steps of the staircase. They came to a rest on their back at the bottom of the stairs. This resulted in a fractured shoulder. ,Accident to person(s),3
35.4567,139.6685,Internal waters -> Port area,JAPAN,Overcast,8 - Gale - knot (34-40) m/s (17-21),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle.,"Cruise ship passenger lost balance following being bumped by another passenger resulting in sprained ankle. Passenger was walking down the aft passenger staircase leading to the International Dining Room. Suddenly an unknown passenger bumped there shoulder from behind, passenger lost there balance and landed on the next step twisting there left ankle.",Accident to person(s),4
35.4559,139.651,Internal waters -> Port area,JAPAN,Clear,3 - Gentle Breeze - knot (7-10) m/s (4-5),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,Cruise ships passenger was pushed by wheelchair resulting in a dislocated shoulder.,Accident to person(s),3
35.4514,139.6406,Internal waters -> Port area,JAPAN,Clear,4 - Moderate Breeze - knot (11-16) m/s (6-8),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Cruise ships crew member injured their back while lifting linen.,"Cruise ships crew member injured back while lifting linen. They were collecting dirty linen outside each cabin to load on a trolley. When lifting a bunch of towels/bed linen they felt pain in their back. In the afternoon they were involved in luggage dispatching. At that time, they felt pain in the back again. The following day, in the afternoon the crewmember went to the ship’s hospital. The ship’s doctor gave them medicine and decided to send ashore for an orthopaedic consultation.",Accident to person(s),6
-37.8448,144.9328,Internal waters -> Port area,AUSTRALIA,Rain,3 - Gentle Breeze - knot (7-10) m/s (4-5),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Night,A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine.,"A cruise ships passenger fell playing tennis resulting in a closed fracture to the spine. Went to catch a ball then accidentally tripped on one there shoes and fell on there right side, landing on deck with there buttocks. The hit on deck was quite strong and the backlash injuring the spine.",Accident to person(s),3
-37.865,144.928333,Internal waters -> Port area,AUSTRALIA,Clear,4 - Moderate Breeze - knot (11-16) m/s (6-8),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,"Cruise ship lost steering control, steering restored soon after.","Cruise ship lost steering control, steering restored soon after. Ship was proceeding under hand steering at 7 knots in the approach channel. Pilot had the con. In approach hand steering control was lost. Vessel position and heading control was maintained instead by use of bow and stern thrusters. Within 1 minute of the event, steering control of both rudders had been restored. The vessel continued on passage and safely docked without further incident.",Loss Of Control,4
53.6065,-0.7161,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,A general cargo vessel collided with a berthed vessel during manoeuvring near the berth.,"A general cargo vessel was manoeuvring off a berth with a pilot on board when the bow of the vessel came into contact with the stern of another general cargo vessel that was berthed. There were no injuries, serious damage or pollution. Minor cosmetic damage of the berthed vessel was reported. The general cargo vessel with the pilot continued on its outbound passage and the forward tank in the area of the collision was monitored for water ingress, of which none was observed. The vessel continued on its passage after disembarking the pilot.",Collision,3
53.606333,-0.714517,Internal waters -> Port area,UNITED KINGDOM,Clear,1 - Light air - knot (1-3) m/s (1-2),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Night,A general cargo vessel grounded whilst alongside.,A general cargo vessel was alongside when it grounded on a falling tide. The sea floor sloped away from the berth causing the vessel to develop a list of 10 degrees away from the berth and part one of its mooring lines. As the tide began to rise a tug assisted the vessel so that it did not slip further and was able to help it back alongside.,Grounding / Stranding,3
52.0335,1.1523,Internal waters -> Port area,UNITED KINGDOM,Clear,Beaufort scale: Unknown,Unknown,Very good - Vis >= 25.0 nm,Daylight,Recreational craft took on water while alongside resulting in loss of vessel.,"Recreational craft took on water while alongside. Water ingress discovered when arriving at boat on Saturday 24th Feb. Bilges filled, engine and battery box flooded. Boat had been lifted into water 3 days previously. External pump used to drain, leak investigated and discovered. Vessel lifted out of water for repairs.",Flooding / Foundering,3
53.3474,-2.7311,Internal waters -> Port area,UNITED KINGDOM,Clear,3 - Gentle Breeze - knot (7-10) m/s (4-5),1 - Calm rippled - (0 - 0.1 m),Very good - Vis >= 25.0 nm,Daylight,General cargo vessel grounded resulting in no damage.,General cargo vessel was departing when it proceeded upstream manoeuvring slowly. There was an attempt to apply the helm order but steering appeared unresponsive and the vessel moved across to rest in soft mud. The main engine astern and the bow thruster which then allowed the vessel to manoeuvre off the mud and proceed to passage. No damage was reported on the vessel. ,Grounding / Stranding,3
53.3176,-4.6202,Internal waters -> Port area,UNITED KINGDOM,Clear,2 - Light Breeze - knot (4-6) m/s (2-3),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Night,A ro-pax vessel appeared to have a fire on one of the vehicles that was loaded,"A ro-pax vessel was loading vehicles when smoke was noticed from an articulated lorry. The crew initiated fire fighting procedures and discharged a dry powder extinguisher in the rear of the cab. After the initial emergency actions had been completed, the crew discovered that the smoke was not from a fire but from the exhaust gas from the cab heater. There were no injuries, pollution or damage from the incident. ",Fire / Explosion,3
53.3328,-4.6115,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Night,A pilot vessel and a bunker barge collided,"A pilot boat was coming alongside a tanker that was outbound from port in order to carry out pilot transfer operations, when the pilot boat was lifted by a wave and collided with the railings of the tanker. The railings were bent backwards but not significantly and the vessels were able to continue with the operation after the incident. There were no injuries or pollution. ",Collision,3
53.3178,-4.62,Internal waters -> Port area,UNITED KINGDOM,Overcast,9 - Strong Gale - knot (41-47) m/s (21-24),4 - Moderate - (1.25 - 2.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A ro-pax vessel sustained damage to the hull plating whilst berthing in heavy weather.,"A ro-pax vessel was berthing during strong gale force winds when the hull struck a fender and sustained a breach on the starboard shoulder above the water line. During the manoeuvring, the vessel had to land on the fenders on multiple occasions due to the strong gusts of wind up to 45 knots. There was also some swell in the harbour that could have caused the vessel to roll onto the sharp edge of the fendering. ",Contact,2
56.4713,-5.7056,Internal waters -> Port area,UNITED KINGDOM,Overcast,3 - Gentle Breeze - knot (7-10) m/s (4-5),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A passenger vessel passenger fell down a staircase and was injured.,"A passenger of a ferry fell down a staircase on board and sustained a head injury, requiring ambulance assistance and hospital attendance. The passenger sustained bone fractures and injuries to the head, ribs and spine. They were taken to a shoreside hospital for treatment. There were no witnesses to the fall, but the passenger had consumed alcohol before the incident.",Accident to person(s),3
53.319333,-4.619833,Internal waters -> Port area,UNITED KINGDOM,Clear,9 - Strong Gale - knot (41-47) m/s (21-24),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Night,A ro-pax vessel was using a piling to assist departure when it collapsed,"A ro-pax vessel was departing a port, the vessel was undertaking a standard departure manoeuvre that is used in strong onshore winds. Whilst the stern was resting on a dolphin and the bow thrusted off, the dolphin gave way and collapsed into the harbour. No injuries occurred onboard to crew or passengers, and no damage was sustained by the vessel.",Contact,4
55.8483,-6.1046,Internal waters -> Port area,UNITED KINGDOM,Unknown,7 - Near Gale - knot (28-33) m/s (14-17),4 - Moderate - (1.25 - 2.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A ro-pax ferry went aground at the berth due to high winds.,"A ro-pax vessel was pushed broad side against a slip way by strong winds and grounded. There was no pollution, injuries or damage reported. The local lifeboat service assisted the vessel off the slipway and it was able to continue the rest of its daily operations without further incident.",Grounding / Stranding,3
53.741,-0.281,Internal waters -> Port area,UNITED KINGDOM,Overcast,2 - Light Breeze - knot (4-6) m/s (2-3),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A contractor working onboard a ro-pax vessel was injured under the stern ramp.,"A contractor on board a ro-pax vessel was injured when the ramp suddenly dropped when they were underneath it. The injured member sustained injuries to their back, ribs and torso.  ",Loss Of Control,6
53.669167,-0.233883,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Daylight,A ro-ro vessel crew member sustained a crush injury from a trailer.,A ro-ro vessel crew member sustained crush injuries whilst working on one of the vehicle decks after being crushed  by a trailer. They were evacuated ashore by shore side emergency services. ,Accident to person(s),3
53.7407,-0.2737,Internal waters -> Port area,UNITED KINGDOM,Clear,7 - Near Gale - knot (28-33) m/s (14-17),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A tanker struck the quay side whilst approaching a jetty.,"An edible oil tanker was berthing in high winds when it struck the jetty with its bow.  The crew and pilot of the vessel commenced a starboard turn towards the lock entrance of the port, when the strong force 7 winds caught the stern of the vessel increasing the turning speed of the vessel. Despite the efforts of the crew to curtail the turn, the vessel struck the fendering at the dock entrance. The fendering of the lock was splintered and broken. The vessel was also damaged above the waterline on the bulwark of the forecastle including dents, cracks and a hole at the centreline of the ship, above the forecastle deck. The incident reportedly occurred because the pilot misjudged the turn, taking it too early. ",Contact,3
53.5033,0.163,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Container ship's pilot ladder did not conform to SOLAS regulations.,Container ship's pilot ladder did not conform to SOLAS regulations. PILOT LADDER IS COMPLIANT HOWEVER THE SPREADER IS BENT TO THE EXTENT THE PILOT RECOMMENDS A REPLACEMENT LADDER.,Damage / Loss Of Equipment,5
56.034167,-3.5035,Internal waters -> Port area,UNITED KINGDOM,Overcast,6 - Strong Breeze - knot (22-27) m/s (11-14),5 - Rough - (2.5 - 4 m),Unknown,Daylight,A fishing vessel grounded whilst in port.,A stern trawler was arriving in port when they grounded on the falling tide. It was initially reported that they had struck other vessels in the marina but this was not the case. The vessel was secured and re-floated on the flooding tide. ,Grounding / Stranding,3
53.450933,-3.017667,Internal waters -> Port area,UNITED KINGDOM,Clear,4 - Moderate Breeze - knot (11-16) m/s (6-8),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Twilight,A cargo vessel made contact with the wall whilst being raised in a lock and sustained damage,"Whilst in the lock waiting to be raised, the flow of water entering the lock chamber caused the vessel to land heavily alongside causing damage to the vessel. ",Contact,3
55.5483,-4.6799,Internal waters -> Port area,UNITED KINGDOM,Clear,4 - Moderate Breeze - knot (11-16) m/s (6-8),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Recreational sailing craft grounded at harbour entrance resulting in all POB being recovered safely  but loss of vessel,Recreational sailing craft grounded at harbour entrance resulting in all POB being recovered safely  but loss of vessel.,Grounding / Stranding,3
57.3251,-4.4421,Internal waters -> Port area,UNITED KINGDOM,Clear,2 - Light Breeze - knot (4-6) m/s (2-3),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,An inland waterways passenger vessel grounded.,"An inland waterways passenger vessel whilst manoeuvring in a port area. The master alter the vessel to starboard to pass another vessel bringing the vessel closer to the shoreline, where the vessel grounded on the starboards side. The incident reportedly occurred due to a lack of judgement on how much room the vessel had to manoeuvre. There was no damage, pollution or injuries. ",Grounding / Stranding,3
55.4256,-5.6028,Internal waters -> Port area,UNITED KINGDOM,Overcast,3 - Gentle Breeze - knot (7-10) m/s (4-5),1 - Calm rippled - (0 - 0.1 m),Good - 5.0 <= Vis < 25.0 nm,Night,A single handed sailing vessel skipper fell overboard and self-recovered.,"A single handed sailing vessel crew member had just come alongside in a marina, when the crewmember fell over board. They were berthing, sending lines ashore and slipped on the stainless steel edging of the pontoon as they stepped from the vessel, causing them to fall into the water. Their lifejacket inflated and they attempted to call for help using their hand held VHF radio, however did not receive a response and was unable to activate the PLB on their lifejacket due to the fact that the inflated bladders of the lifejacket made it difficult to reach. The crewmember used the edge of the pontoon to move along and self recovered from the water using the loop of the mooring line to make a sling around a cleat on the pontoon. They were able to get up onto the pontoon by removing their lifejacket. They self-administered first aid and were not seriously injured. ",Accident to person(s),4
50.79305,-1.107217,Internal waters -> Port area,UNITED KINGDOM,Clear,5 - Fresh Breeze - knot (17-21) m/s (9-11),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A ro-pax vessel experienced smoke coming through the ventilation due to overheating in the fan room.,"A ro-pa vessel was approaching port when there was smoke reported in one of the passenger common areas coming out from the ventilation system. The smoke was not thick and smelled like electrical or plastic burning. The crew evacuated the passengers to the external areas of the accommodation whilst they determined the source of the smoke. The smoke was found to be coming from the fan room where the belt of one of the motors had overheated causing the smoke. The drive belt was slacker than it should have been causing additional friction and heat. The vessel was able to berth and all the passengers and vehicles disembarked. The local fire service also attended to determine that there was no fire or risk remaining. There were no injuries, pollution or damage as a result of the incident. ",Fire / Explosion,3
50.624667,-3.334333,Internal waters -> Port area,UNITED KINGDOM,Unknown,5 - Fresh Breeze - knot (17-21) m/s (9-11),4 - Moderate - (1.25 - 2.5 m),Very poor - Vis < 0.5 nm,Night,A dredger's overnight anchor slipped and the vessel ran aground and the 3 crew abandoned the vessel.,A dredger ran aground after its anchor dragged. The three crewmembers were rescued by local search and rescue services. There was reportedly no pollution or damage but the vessel was hard aground and the company organised private salvage of the vessel. There were no injuries. ,Grounding / Stranding,3
50.8112,-1.1141,Internal waters -> Port area,UNITED KINGDOM,Overcast,4 - Moderate Breeze - knot (11-16) m/s (6-8),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Night,Ro-Ro made contact with with mooring resulting in damage to the port aft voith blades and mooring.,Ro-Ro made contact with with mooring resulting in damage to the port aft voith blades and mooring.,Contact,3
50.7929,-1.1071,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,"RO-PAX vessel was recovering its rescue boat when control of the winch was lost, causing the rescue boat to drop and the winch handle to spin without control","RO-PAX vessel was recovering its rescue boat using a motorised davitt winch when the winch began paying out and the boat slipped. The decision was made to cease use of the motorised winch and revert to am anual operation. A crewmember inserted a winch handle and began winding the winch in. This was tiring and so decided to swap with another crew member. In the process of handing over, there was a moment whereby the winch was not being held by the current crew member or the crew member coming to replace him and the rescue boat began to drop and the winch handle span without any control or way of stopping it.  The rescue boat dropped approximately 3 meters before coming to rest and the winch handle stopping. There were no injuries and no damage to the rescue boat or the RO-PAX vessel.",Loss Of Control,4
50.7929,-1.1073,Internal waters -> Port area,UNITED KINGDOM,Overcast,4 - Moderate Breeze - knot (11-16) m/s (6-8),3 - Slight - (0.5 - 1.25 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,"Passenger Ro-Ro experienced davit malfunction when running drill, resulting in near miss.","Passenger Ro-Ro experienced davit malfunction when running drill, resulting in near miss.",Damage / Loss Of Equipment,5
50.8072,-1.0994,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Cruise ship's pilot ladder did not conform to SOLAS regulations.,"Cruise ship's pilot ladder did not conform to SOLAS regulations. Bottom rung of ladder broken, a winnet missing on one of the rubber rungs, a couple of winnets had been replaced with wooden ones and looked loose.",Damage / Loss Of Equipment,5
50.8098,-1.1039,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Cruise ship's pilot ladder did not conform to SOLAS regulations.,Cruise ship's pilot ladder did not conform to SOLAS regulations. ,Damage / Loss Of Equipment,5
55.4233,-5.6007,Internal waters -> Port area,UNITED KINGDOM,Clear,1 - Light air - knot (1-3) m/s (1-2),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Passenger /Ro-Ro vessel grounded due to tide running out while maintenance taking place in the slipway.,"Passenger /Ro-Ro vessel grounded due to tide running out while maintenance taking place in the slipway. While undergoing welding maintenance to the ramp, the tide ran out and vessel grounded, RNLI ALB deployed to assist with no effect, Vessel waiting for next high water to re-float. Damage unknown",Grounding / Stranding,3
50.787033,-1.1065,Internal waters -> Port area,UNITED KINGDOM,Clear,3 - Gentle Breeze - knot (7-10) m/s (4-5),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Pilot boat suffered a starboard engine fire which resulted in loss of power and towed back to harbour,"The vessel was returning to harbour when the temperature alarm activated. Smoke was coming out of the exhaust and intake vents, the intake and exhaust vents were closed and the fuel supply shut off. The onboard fixed firefighting system was activated. Two police vessels assisted with towing the vessel back with two tugs in assistance if required. Once alongside the fire service took over and boarded the vessel to assess. There were no injuries or pollution reported.",Fire / Explosion,3
50.8096,-1.1052,Internal waters -> Port area,UNITED KINGDOM,Clear,3 - Gentle Breeze - knot (7-10) m/s (4-5),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,Service vessel suffered from water ingress,"The vessel had an ingress of water due to the seawater system not being correctly isolated by a crew member prior to carrying out cleaning the seawater strainers. Approximately 50-60m3 of seawater flooded into the engine room. The bilge alarm had sounded. Two crew attempted to replace the strainer cover but were not successful, another crew member isolated a valve to stop the ingress. Shore assistance was provided to pump out the water. ",Flooding / Foundering,3
50.8089,-1.0923,Internal waters -> Port area,UNITED KINGDOM,Clear,2 - Light Breeze - knot (4-6) m/s (2-3),0 - Calm glassy - (0 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,"Cargo vessels crew member slipped and fell into the void bilge resulting in injuries to the head, body and ankle","Cargo vessels crew member slipped and fell into the void bilge resulting in injuries to the head, body and ankle. While walking, they slipped on a sheet of blue tarpaulin in the void walkway, and fell below the handrail into the void bilge.",Accident to person(s),4
55.450167,-5.538667,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Sailing vessel ran aground resulting 4 POB being recovered to safety.,Sailing vessel ran aground resulting 4 POB being recovered to safety.,Grounding / Stranding,3
50.7995,-1.1121,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,4 - Moderate - (1.25 - 2.5 m),Unknown,Daylight,Passenger vessel collided with a passenger ferry alongside whilst departing resulting in minor damage.,Passenger vessel collided with a passenger ferry alongside whilst departing resulting in minor damage. There was a strong ebb tide. Unfortunately when they let go and started to move away from the harbour they made contact with the passenger ferry.,Collision,3
50.8095,-1.1114,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Unknown,Unknown,Passenger ro-ro ship's pilot ladder did not conform to SOLAS regulations.,"Passenger ro-ro ship's pilot ladder did not conform to SOLAS regulations. Ladder construction - rope of questionable type, secured in a Questionable manner it’s a twin rope design and they had one part of the rope tied to a different point than the other. There is not a cut away in the running band resulting in an overhang, causing footing issues and the pilot ladder to underhang when you step below the running band",Damage / Loss Of Equipment,4
50.7961,-1.1112,Internal waters -> Port area,UNITED KINGDOM,Unknown,Beaufort scale: Unknown,Unknown,Good - 5.0 <= Vis < 25.0 nm,Daylight,A service vessels crew member injured themself whilst lifting fuel hose.,A service vessels crew member injured themself whilst lifting fuel hose. IP was taking the vessels bunkering hose back from the customers vessel.  During this evolution the IP noticed a “twinge” in the back.  Now has back pain and has been signed off work for a week. IP has a (at the time) an undeclared bad back and was manhandling 300ft of fuel hose.,Accident to person(s),3
55.4241,-5.6024,Internal waters -> Port area,UNITED KINGDOM,Unknown,3 - Gentle Breeze - knot (7-10) m/s (4-5),2 - Smooth - (0.1 - 0.5 m),Good - 5.0 <= Vis < 25.0 nm,Daylight,A fishing vessel suffered a fire onboard that was extinguished by the fire service,"A fishing vessel suffered a fire onboard from an oil heater that had been left on before the skipper left the vessel. The vessel was alongside in a harbour, excessive smoke was seen coming from the vessel. The fire service attended and extinguished the fire. No pollution seen, the vessel's interior sustained damage.",Fire / Explosion,3
50.809,-1.0925,Internal waters -> Port area,UNITED KINGDOM,Unknown,0 - Calm - knot (0-1) m/s (0-1),0 - Calm glassy - (0 m),Very good - Vis >= 25.0 nm,Daylight,A products barge had an explosion in a battery cabinate.,"A products barge had an explosion when running the diesel generator. The explosion occurred within the battery cabinet, suspected to be caused by a build up of hydrogen gas. The cabinet was damaged but there were no injuries or pollution.",Fire / Explosion,1
